JayvibonCuevas,773025199,4913459655786659074,Curve Finance,1357982180
jacusyang,1657712977,-6487005980761924368,Curve Finance,1357982180
,1688822196,6174924201900939509,Curve Finance,1357982180
jlbrgs,427270193,-6163260416042015747,Curve Finance,1357982180
jj21346,1602983375,8898587384525496541,Curve Finance,1357982180
,1621507098,382447738348298458,Curve Finance,1357982180
,1656656217,-7816429099919237601,Curve Finance,1357982180
,924108704,253095706516107278,Curve Finance,1357982180
,1854427376,7521599736025044532,Curve Finance,1357982180
,1619390516,7953802741355475419,Curve Finance,1357982180
Jerk2398,1858326487,3717823275068096538,Curve Finance,1357982180
,1897775116,6068294049448126022,Curve Finance,1357982180
supereliter,587388495,-398269603082230162,Curve Finance,1357982180
Muchoaliento,105532490,-785655385396183000,Curve Finance,1357982180
Jamie91c,895765343,-5094541487026570778,Curve Finance,1357982180
aj100100,1100050945,558492180159369407,Curve Finance,1357982180
mccree_cn,427988019,-7437445877539025558,Curve Finance,1357982180
mastabato,839399695,5671328182653246278,Curve Finance,1357982180
aex_jiedaibao,1115576293,3209743423017401537,Curve Finance,1357982180
Snowleopunk,1078291783,1285205296803934328,Curve Finance,1357982180
jpcolomer,1676613849,7553880970202528934,Curve Finance,1357982180
,1861292895,-3057594066428776214,Curve Finance,1357982180
dongjerry,1856813256,8157306498479642924,Curve Finance,1357982180
,1858909365,-3506830466197789858,Curve Finance,1357982180
JojoAI1,663739493,-4618193498991758151,Curve Finance,1357982180
manxsir,1062435480,-6728506272558102353,Curve Finance,1357982180
jamino007,490123905,-4690276268754981110,Curve Finance,1357982180
,1819518313,3426785404118662883,Curve Finance,1357982180
justinian482,1150788938,-6303186231822228482,Curve Finance,1357982180
,1798500034,-292100471379149968,Curve Finance,1357982180
JakeisCake,1615974247,-744521337505854010,Curve Finance,1357982180
jcali17,512765679,1410924842836482373,Curve Finance,1357982180
,1826727798,9165487311508075448,Curve Finance,1357982180
Sollamas,1889588461,2133559527102920068,Curve Finance,1357982180
,799665675,-3659323345398217388,Curve Finance,1357982180
johnhh7,322149996,-4416621412960416702,Curve Finance,1357982180
JohnsonUp,433506393,8651744654467968717,Curve Finance,1357982180
jameb0nd1001,413074130,-359304889574870870,Curve Finance,1357982180
JurekD,1252446684,-2202278360768628680,Curve Finance,1357982180
junofish,1714125943,-2907073276104478263,Curve Finance,1357982180
jagdpilot,961983739,-8535484305045489708,Curve Finance,1357982180
Shapwilaouwa,355166171,7002802541108948032,Curve Finance,1357982180
jkyrz,1712636983,-5918501823406256445,Curve Finance,1357982180
,1163212178,57535728870629464,Curve Finance,1357982180
,1282517422,5810646891447178201,Curve Finance,1357982180
,1792046358,-51548022474411241,Curve Finance,1357982180
Jery_016,1167798077,1772087600496308099,Curve Finance,1357982180
investor3ico,714862856,-3504369414549102007,Curve Finance,1357982180
Indoboy,736150485,6038806077586283452,Curve Finance,1357982180
inorbit30,455940102,997962478590093731,Curve Finance,1357982180
syroamst,378055739,6311707893931464694,Curve Finance,1357982180
JohnDoeFarmer,968063920,6528081818898391584,Curve Finance,1357982180
Sri_P,338136346,7915725073596137449,Curve Finance,1357982180
ceo_ctrading,8329450,3274835645041132779,Curve Finance,1357982180
prince_booties,524244604,-2533110927310528979,Curve Finance,1357982180
Jaffmraze,1127842981,-8984261428538046373,Curve Finance,1357982180
IRodebush,477568034,2008277570476849199,Curve Finance,1357982180
nathandoctor,416639099,-2651643412608890022,Curve Finance,1357982180
turtleit,1170875142,-378791458875201624,Curve Finance,1357982180
IlyaTarutov,154579181,3404185512475221320,Curve Finance,1357982180
Bettystarssss,830126805,-6684333186172285416,Curve Finance,1357982180
papitoman,822398778,-1201669750719621908,Curve Finance,1357982180
name_here,17793632,2962262267427928032,Curve Finance,1357982180
Isecureid,21672309,-2929309470894441484,Curve Finance,1357982180
Iainkek,485693734,-8799965536510370163,Curve Finance,1357982180
just_inkesh,1111853894,8595844862350244941,Curve Finance,1357982180
i6sdh79h,1055517980,4763612733762741458,Curve Finance,1357982180
Ivan0t,380330814,8280586332882392863,Curve Finance,1357982180
erfan_isaac,481246205,2536446590938936030,Curve Finance,1357982180
IncognitoR00ster,1259104671,-8113351711941144867,Curve Finance,1357982180
monaelisa,199100363,-7482145386037999706,Curve Finance,1357982180
iGiSnk,391865875,4154453356799142148,Curve Finance,1357982180
Will_i_D,353776024,7928922030902412344,Curve Finance,1357982180
ianmcafee,473342726,-7410277223295953465,Curve Finance,1357982180
ignebdx,386752341,6888020146093302370,Curve Finance,1357982180
juan_if,129142063,6394024696585222422,Curve Finance,1357982180
artem_ij,87220577,2896104619454893275,Curve Finance,1357982180
ilyaMan,5286754,-5132719065558741860,Curve Finance,1357982180
Ron_Kelly,58958182,766146861159609534,Curve Finance,1357982180
imvenomous,1298137728,2683303608965373565,Curve Finance,1357982180
icecube18,343963342,-190130825809302199,Curve Finance,1357982180
sobolevigor,13003432,-2740331750763817163,Curve Finance,1357982180
iamaphoton,375100949,7668518945938755878,Curve Finance,1357982180
ItsNotThatDeeep,373727962,-237763399325141450,Curve Finance,1357982180
in4ra3d,407578801,3911898202132720058,Curve Finance,1357982180
,948518962,8573557875086145280,Curve Finance,1357982180
itsmequik,874740193,4926530363130846668,Curve Finance,1357982180
iamnotnicola,94821346,2664098318496679896,Curve Finance,1357982180
IsolaY,383031733,2257729002866225102,Curve Finance,1357982180
apeir99n,1673105,846922085534520521,Curve Finance,1357982180
,1666322159,-5416591909259931674,Curve Finance,1357982180
Derrikho,1656291111,984968079311582468,Curve Finance,1357982180
cyhsun,1639986301,-7738070980812968540,Curve Finance,1357982180
,1756752565,-669929401011098499,Curve Finance,1357982180
hereiam987,1436792548,6271039987785388625,Curve Finance,1357982180
